target_lang,donor_lang,atds
punjabi,hindi-clustered321,0.6245
punjabi,hindi-clustered972,0.6191
punjabi,hindi-clustered445,0.6186
punjabi,hindi-clustered672,0.617
punjabi,hindi-clustered840,0.6119
punjabi,hindi-clustered135,0.6118
punjabi,hindi-clustered810,0.6088
punjabi,hindi-clustered525,0.6061
punjabi,hindi-clustered574,0.604
punjabi,hindi-clustered515,0.6036
punjabi,hindi-clustered841,0.6031
punjabi,hindi-clustered764,0.6018
punjabi,hindi-clustered349,0.6012
punjabi,hindi-clustered879,0.6001
punjabi,hindi-clustered739,0.5993
punjabi,hindi-clustered93,0.5986
punjabi,hindi-clustered858,0.5973
punjabi,hindi-clustered550,0.5972
punjabi,hindi-clustered330,0.5968
punjabi,hindi-clustered531,0.5968
punjabi,hindi-clustered600,0.5966
punjabi,hindi-clustered13,0.5955
punjabi,hindi-clustered526,0.5953
punjabi,hindi-clustered207,0.5951
punjabi,hindi-clustered832,0.5949
punjabi,hindi-clustered594,0.5945
punjabi,hindi-clustered184,0.5942
punjabi,hindi-clustered366,0.5941
punjabi,hindi-clustered253,0.5939
punjabi,hindi-clustered176,0.5937
punjabi,hindi-clustered524,0.5935
punjabi,hindi-clustered38,0.5929
punjabi,hindi-clustered589,0.5928
punjabi,hindi-clustered191,0.5927
punjabi,hindi-clustered178,0.5925
punjabi,hindi-clustered188,0.592
punjabi,hindi-clustered2,0.5918
punjabi,hindi-clustered920,0.5917
punjabi,hindi-clustered884,0.5916
punjabi,hindi-clustered107,0.591
punjabi,hindi-clustered875,0.5908
punjabi,hindi-clustered903,0.5903
punjabi,hindi-clustered12,0.59
punjabi,hindi-clustered709,0.5897
punjabi,hindi-clustered236,0.5896
punjabi,hindi-clustered51,0.589
punjabi,hindi-clustered132,0.5889
punjabi,hindi-clustered604,0.5888
punjabi,hindi-clustered772,0.5888
punjabi,hindi-clustered935,0.5878
punjabi,hindi-clustered146,0.5878
punjabi,hindi-clustered796,0.5878
punjabi,hindi-clustered50,0.5877
punjabi,hindi-clustered491,0.5874
punjabi,hindi-clustered696,0.5873
punjabi,hindi-clustered504,0.5871
punjabi,hindi-clustered192,0.5867
punjabi,hindi-clustered609,0.5865
punjabi,hindi-clustered99,0.5861
punjabi,hindi-clustered583,0.5859
punjabi,hindi-clustered405,0.5858
punjabi,hindi-clustered878,0.5852
punjabi,hindi-clustered776,0.5848
punjabi,hindi-clustered289,0.5844
punjabi,hindi-clustered63,0.5842
punjabi,hindi-clustered272,0.5839
punjabi,hindi-clustered632,0.5837
punjabi,hindi-clustered606,0.5837
punjabi,hindi-clustered659,0.5834
punjabi,hindi-clustered278,0.5831
punjabi,hindi-clustered371,0.583
punjabi,hindi-clustered991,0.5825
punjabi,hindi-clustered890,0.5817
punjabi,hindi-clustered814,0.5814
punjabi,hindi-clustered232,0.5814
punjabi,hindi-clustered502,0.5809
punjabi,hindi-clustered41,0.5805
punjabi,hindi-clustered598,0.5803
punjabi,hindi-clustered451,0.5802
punjabi,hindi-clustered478,0.5798
punjabi,hindi-clustered162,0.5795
punjabi,hindi-clustered217,0.5791
punjabi,hindi-clustered915,0.5782
punjabi,hindi-clustered246,0.5779
punjabi,hindi-clustered230,0.5778
punjabi,hindi-clustered932,0.5775
punjabi,hindi-clustered981,0.5774
punjabi,hindi-clustered115,0.5773
punjabi,hindi-clustered426,0.5767
punjabi,hindi-clustered17,0.5764
punjabi,hindi-clustered165,0.5761
punjabi,hindi-clustered561,0.5752
punjabi,hindi-clustered124,0.5749
punjabi,hindi-clustered179,0.5745
punjabi,hindi-clustered621,0.5744
punjabi,hindi-clustered461,0.5743
punjabi,hindi-clustered940,0.5742
punjabi,hindi-clustered734,0.574
punjabi,hindi-clustered149,0.5732
punjabi,hindi-clustered965,0.5732
punjabi,hindi-clustered761,0.5731
punjabi,hindi-clustered866,0.5729
punjabi,hindi-clustered438,0.5727
punjabi,hindi-clustered469,0.5724
punjabi,hindi-clustered61,0.5724
punjabi,hindi-clustered568,0.5722
punjabi,hindi-clustered597,0.5722
punjabi,hindi-clustered934,0.572
punjabi,hindi-clustered443,0.5718
punjabi,hindi-clustered785,0.5717
punjabi,hindi-clustered305,0.5717
punjabi,hindi-clustered258,0.5713
punjabi,hindi-clustered374,0.5709
punjabi,hindi-clustered929,0.5708
punjabi,hindi-clustered223,0.5705
punjabi,hindi-clustered983,0.5705
punjabi,hindi-clustered18,0.5705
punjabi,hindi-clustered634,0.5705
punjabi,hindi-clustered495,0.5704
punjabi,hindi-clustered294,0.57
punjabi,hindi-clustered988,0.57
punjabi,hindi-clustered897,0.5699
punjabi,hindi-clustered894,0.5698
punjabi,hindi-clustered137,0.5696
punjabi,hindi-clustered6,0.5695
punjabi,hindi-clustered341,0.5695
punjabi,hindi-clustered201,0.5688
punjabi,hindi-clustered129,0.5686
punjabi,hindi-clustered392,0.5685
punjabi,hindi-clustered611,0.5683
punjabi,hindi-clustered97,0.5682
punjabi,hindi-clustered496,0.5682
punjabi,hindi-clustered573,0.568
punjabi,hindi-clustered441,0.5679
punjabi,hindi-clustered744,0.5675
punjabi,hindi-clustered968,0.5674
punjabi,hindi-clustered114,0.5671
punjabi,hindi-clustered359,0.5671
punjabi,hindi-clustered31,0.567
punjabi,hindi-clustered361,0.5669
punjabi,hindi-clustered958,0.5669
punjabi,hindi-clustered902,0.5668
punjabi,hindi-clustered482,0.5668
punjabi,hindi-clustered898,0.5662
punjabi,hindi-clustered247,0.5662
punjabi,hindi-clustered990,0.5662
punjabi,hindi-clustered315,0.5654
punjabi,hindi-clustered363,0.5654
punjabi,hindi-clustered532,0.5654
punjabi,hindi-clustered624,0.5653
punjabi,hindi-clustered684,0.5653
punjabi,hindi-clustered685,0.5652
punjabi,hindi-clustered755,0.5652
punjabi,hindi-clustered240,0.5651
punjabi,hindi-clustered339,0.565
punjabi,hindi-clustered712,0.565
punjabi,hindi-clustered640,0.5648
punjabi,hindi-clustered308,0.5646
punjabi,hindi-clustered933,0.5645
punjabi,hindi-clustered175,0.5643
punjabi,hindi-clustered888,0.5643
punjabi,hindi-clustered60,0.5642
punjabi,hindi-clustered79,0.5638
punjabi,hindi-clustered900,0.5632
punjabi,hindi-clustered667,0.563
punjabi,hindi-clustered67,0.5629
punjabi,hindi-clustered700,0.5627
punjabi,hindi-clustered955,0.5623
punjabi,hindi-clustered325,0.5619
punjabi,hindi-clustered264,0.5614
punjabi,hindi-clustered404,0.5613
punjabi,hindi-clustered883,0.5613
punjabi,hindi-clustered352,0.5611
punjabi,hindi-clustered74,0.5605
punjabi,hindi-clustered543,0.5603
punjabi,hindi-clustered703,0.5602
punjabi,hindi-clustered48,0.5601
punjabi,hindi-clustered367,0.5601
punjabi,hindi-clustered775,0.56
punjabi,hindi-clustered55,0.5599
punjabi,hindi-clustered885,0.5596
punjabi,hindi-clustered906,0.5592
punjabi,hindi-clustered271,0.559
punjabi,hindi-clustered824,0.559
punjabi,hindi-clustered670,0.559
punjabi,hindi-clustered721,0.5589
punjabi,hindi-clustered427,0.5588
punjabi,hindi-clustered125,0.5588
punjabi,hindi-clustered507,0.5584
punjabi,hindi-clustered353,0.5583
punjabi,hindi-clustered83,0.5583
punjabi,hindi-clustered103,0.5583
punjabi,hindi-clustered617,0.5581
punjabi,hindi-clustered11,0.558
punjabi,hindi-clustered130,0.558
punjabi,hindi-clustered215,0.5578
punjabi,hindi-clustered370,0.5578
punjabi,hindi-clustered867,0.5578
punjabi,hindi-clustered857,0.5577
punjabi,hindi-clustered189,0.5575
punjabi,hindi-clustered847,0.5573
punjabi,hindi-clustered36,0.5572
punjabi,hindi-clustered876,0.557
punjabi,hindi-clustered851,0.5569
punjabi,hindi-clustered925,0.5567
punjabi,hindi-clustered534,0.5564
punjabi,hindi-clustered820,0.5563
punjabi,hindi-clustered508,0.5563
punjabi,hindi-clustered756,0.5563
punjabi,hindi-clustered250,0.5563
punjabi,hindi-clustered213,0.5562
punjabi,hindi-clustered686,0.5562
punjabi,hindi-clustered209,0.5562
punjabi,hindi-clustered698,0.556
punjabi,hindi-clustered381,0.5559
punjabi,hindi-clustered248,0.5558
punjabi,hindi-clustered429,0.5555
punjabi,hindi-clustered521,0.5555
punjabi,hindi-clustered825,0.5552
punjabi,hindi-clustered234,0.5551
punjabi,hindi-clustered71,0.5551
punjabi,hindi-clustered837,0.555
punjabi,hindi-clustered984,0.5549
punjabi,hindi-clustered715,0.5548
punjabi,hindi-clustered691,0.5546
punjabi,hindi-clustered486,0.5545
punjabi,hindi-clustered499,0.5544
punjabi,hindi-clustered977,0.554
punjabi,hindi-clustered458,0.5537
punjabi,hindi-clustered549,0.5534
punjabi,hindi-clustered159,0.5533
punjabi,hindi-clustered418,0.5532
punjabi,hindi-clustered457,0.5532
punjabi,hindi-clustered655,0.5528
punjabi,hindi-clustered812,0.5527
punjabi,hindi-clustered505,0.5526
punjabi,hindi-clustered9,0.5526
punjabi,hindi-clustered327,0.5522
punjabi,hindi-clustered641,0.5519
punjabi,hindi-clustered859,0.5518
punjabi,hindi-clustered661,0.5517
punjabi,hindi-clustered917,0.5516
punjabi,hindi-clustered22,0.5515
punjabi,hindi-clustered447,0.5513
punjabi,hindi-clustered85,0.5513
punjabi,hindi-clustered414,0.5513
punjabi,hindi-clustered489,0.5512
punjabi,hindi-clustered298,0.551
punjabi,hindi-clustered33,0.5508
punjabi,hindi-clustered206,0.5507
punjabi,hindi-clustered558,0.5506
punjabi,hindi-clustered434,0.5506
punjabi,hindi-clustered554,0.5505
punjabi,hindi-clustered47,0.5505
punjabi,hindi-clustered956,0.5503
punjabi,hindi-clustered960,0.55
punjabi,hindi-clustered147,0.5495
punjabi,hindi-clustered854,0.5493
punjabi,hindi-clustered522,0.549
punjabi,hindi-clustered746,0.549
punjabi,hindi-clustered415,0.5486
punjabi,hindi-clustered241,0.5486
punjabi,hindi-clustered801,0.5486
punjabi,hindi-clustered291,0.5486
punjabi,hindi-clustered768,0.5483
punjabi,hindi-clustered274,0.5483
punjabi,hindi-clustered468,0.5482
punjabi,hindi-clustered993,0.5481
punjabi,hindi-clustered945,0.548
punjabi,hindi-clustered431,0.5479
punjabi,hindi-clustered428,0.5477
punjabi,hindi-clustered155,0.5474
punjabi,hindi-clustered296,0.5473
punjabi,hindi-clustered200,0.5472
punjabi,hindi-clustered724,0.547
punjabi,hindi-clustered740,0.5469
punjabi,hindi-clustered836,0.5461
punjabi,hindi-clustered143,0.546
punjabi,hindi-clustered62,0.546
punjabi,hindi-clustered221,0.5459
punjabi,hindi-clustered257,0.5458
punjabi,hindi-clustered994,0.5458
punjabi,hindi-clustered198,0.5457
punjabi,hindi-clustered310,0.5454
punjabi,hindi-clustered901,0.5452
punjabi,hindi-clustered113,0.545
punjabi,hindi-clustered442,0.5449
punjabi,hindi-clustered453,0.5448
punjabi,hindi-clustered839,0.5447
punjabi,hindi-clustered231,0.5444
punjabi,hindi-clustered520,0.5441
punjabi,hindi-clustered439,0.5438
punjabi,hindi-clustered688,0.5436
punjabi,hindi-clustered75,0.5435
punjabi,hindi-clustered975,0.5435
punjabi,hindi-clustered282,0.5434
punjabi,hindi-clustered210,0.5434
punjabi,hindi-clustered19,0.5434
punjabi,hindi-clustered511,0.5431
punjabi,hindi-clustered72,0.543
punjabi,hindi-clustered805,0.5427
punjabi,hindi-clustered989,0.5425
punjabi,hindi-clustered745,0.5425
punjabi,hindi-clustered354,0.5425
punjabi,hindi-clustered408,0.5425
punjabi,hindi-clustered722,0.5423
punjabi,hindi-clustered966,0.5423
punjabi,hindi-clustered273,0.542
punjabi,hindi-clustered195,0.5419
punjabi,hindi-clustered666,0.5415
punjabi,hindi-clustered503,0.5414
punjabi,hindi-clustered35,0.5414
punjabi,hindi-clustered261,0.5413
punjabi,hindi-clustered647,0.5413
punjabi,hindi-clustered829,0.5413
punjabi,hindi-clustered654,0.5411
punjabi,hindi-clustered342,0.5408
punjabi,hindi-clustered395,0.5407
punjabi,hindi-clustered351,0.5399
punjabi,hindi-clustered762,0.5398
punjabi,hindi-clustered563,0.5397
punjabi,hindi-clustered23,0.5397
punjabi,hindi-clustered613,0.5396
punjabi,hindi-clustered948,0.5394
punjabi,hindi-clustered918,0.5393
punjabi,hindi-clustered708,0.5392
punjabi,hindi-clustered807,0.5392
punjabi,hindi-clustered1,0.5391
punjabi,hindi-clustered122,0.539
punjabi,hindi-clustered771,0.539
punjabi,hindi-clustered736,0.5389
punjabi,hindi-clustered34,0.5388
punjabi,hindi-clustered555,0.5383
punjabi,hindi-clustered924,0.5382
punjabi,hindi-clustered803,0.5379
punjabi,hindi-clustered66,0.5379
punjabi,hindi-clustered539,0.5379
punjabi,hindi-clustered860,0.5377
punjabi,hindi-clustered8,0.5376
punjabi,hindi-clustered889,0.5373
punjabi,hindi-clustered861,0.5372
punjabi,hindi-clustered674,0.5371
punjabi,hindi-clustered329,0.5368
punjabi,hindi-clustered59,0.5364
punjabi,hindi-clustered908,0.5364
punjabi,hindi-clustered493,0.5364
punjabi,hindi-clustered577,0.5362
punjabi,hindi-clustered599,0.5362
punjabi,hindi-clustered171,0.5362
punjabi,hindi-clustered259,0.536
punjabi,hindi-clustered255,0.5359
punjabi,hindi-clustered425,0.5359
punjabi,hindi-clustered787,0.5356
punjabi,hindi-clustered592,0.5356
punjabi,hindi-clustered177,0.5355
punjabi,hindi-clustered856,0.5355
punjabi,hindi-clustered877,0.5349
punjabi,hindi-clustered905,0.5349
punjabi,hindi-clustered868,0.5349
punjabi,hindi-clustered84,0.5348
punjabi,hindi-clustered252,0.5347
punjabi,hindi-clustered809,0.5347
punjabi,hindi-clustered780,0.5346
punjabi,hindi-clustered433,0.5346
punjabi,hindi-clustered998,0.5344
punjabi,hindi-clustered562,0.5344
punjabi,hindi-clustered284,0.5343
punjabi,hindi-clustered110,0.5337
punjabi,hindi-clustered5,0.5336
punjabi,hindi-clustered603,0.5335
punjabi,hindi-clustered78,0.5335
punjabi,hindi-clustered687,0.5334
punjabi,hindi-clustered813,0.5332
punjabi,hindi-clustered26,0.5332
punjabi,hindi-clustered452,0.5331
punjabi,hindi-clustered766,0.533
punjabi,hindi-clustered794,0.533
punjabi,hindi-clustered587,0.5329
punjabi,hindi-clustered512,0.5328
punjabi,hindi-clustered881,0.5325
punjabi,hindi-clustered336,0.5324
punjabi,hindi-clustered601,0.5323
punjabi,hindi-clustered338,0.5323
punjabi,hindi-clustered400,0.532
punjabi,hindi-clustered483,0.5319
punjabi,hindi-clustered350,0.5319
punjabi,hindi-clustered514,0.5314
punjabi,hindi-clustered758,0.5313
punjabi,hindi-clustered676,0.5312
punjabi,hindi-clustered373,0.5312
punjabi,hindi-clustered118,0.5311
punjabi,hindi-clustered470,0.531
punjabi,hindi-clustered449,0.5309
punjabi,hindi-clustered872,0.5307
punjabi,hindi-clustered665,0.5305
punjabi,hindi-clustered494,0.5305
punjabi,hindi-clustered49,0.5304
punjabi,hindi-clustered166,0.5303
punjabi,hindi-clustered346,0.5302
punjabi,hindi-clustered376,0.5302
punjabi,hindi-clustered185,0.5302
punjabi,hindi-clustered280,0.5301
punjabi,hindi-clustered528,0.5301
punjabi,hindi-clustered490,0.53
punjabi,hindi-clustered536,0.5298
punjabi,hindi-clustered219,0.5297
punjabi,hindi-clustered142,0.5294
punjabi,hindi-clustered3,0.5293
punjabi,hindi-clustered639,0.5293
punjabi,hindi-clustered150,0.5292
punjabi,hindi-clustered735,0.5291
punjabi,hindi-clustered333,0.5291
punjabi,hindi-clustered938,0.5291
punjabi,hindi-clustered913,0.5291
punjabi,hindi-clustered788,0.529
punjabi,hindi-clustered263,0.529
punjabi,hindi-clustered314,0.5289
punjabi,hindi-clustered845,0.5289
punjabi,hindi-clustered324,0.5289
punjabi,hindi-clustered293,0.5288
punjabi,hindi-clustered949,0.5284
punjabi,hindi-clustered757,0.5283
punjabi,hindi-clustered303,0.5281
punjabi,hindi-clustered319,0.5279
punjabi,hindi-clustered391,0.5279
punjabi,hindi-clustered753,0.5278
punjabi,hindi-clustered697,0.5277
punjabi,hindi-clustered545,0.5276
punjabi,hindi-clustered742,0.5275
punjabi,hindi-clustered397,0.5273
punjabi,hindi-clustered882,0.5271
punjabi,hindi-clustered923,0.5271
punjabi,hindi-clustered777,0.5271
punjabi,hindi-clustered779,0.5271
punjabi,hindi-clustered138,0.5271
punjabi,hindi-clustered564,0.5271
punjabi,hindi-clustered886,0.527
punjabi,hindi-clustered537,0.5269
punjabi,hindi-clustered763,0.5267
punjabi,hindi-clustered575,0.5267
punjabi,hindi-clustered432,0.5266
punjabi,hindi-clustered364,0.5266
punjabi,hindi-clustered0,0.5264
punjabi,hindi-clustered580,0.5262
punjabi,hindi-clustered46,0.5261
punjabi,hindi-clustered792,0.5261
punjabi,hindi-clustered919,0.526
punjabi,hindi-clustered631,0.526
punjabi,hindi-clustered586,0.5259
punjabi,hindi-clustered579,0.5259
punjabi,hindi-clustered70,0.5257
punjabi,hindi-clustered197,0.5257
punjabi,hindi-clustered979,0.5256
punjabi,hindi-clustered152,0.5254
punjabi,hindi-clustered811,0.5253
punjabi,hindi-clustered781,0.5252
punjabi,hindi-clustered896,0.5252
punjabi,hindi-clustered322,0.525
punjabi,hindi-clustered228,0.5249
punjabi,hindi-clustered527,0.5249
punjabi,hindi-clustered863,0.5247
punjabi,hindi-clustered256,0.5245
punjabi,hindi-clustered218,0.5243
punjabi,hindi-clustered77,0.5239
punjabi,hindi-clustered92,0.5239
punjabi,hindi-clustered283,0.5238
punjabi,hindi-clustered793,0.5238
punjabi,hindi-clustered921,0.5238
punjabi,hindi-clustered497,0.5238
punjabi,hindi-clustered559,0.5237
punjabi,hindi-clustered145,0.5236
punjabi,hindi-clustered475,0.5236
punjabi,hindi-clustered693,0.5235
punjabi,hindi-clustered407,0.5234
punjabi,hindi-clustered831,0.5233
punjabi,hindi-clustered928,0.5233
punjabi,hindi-clustered567,0.5232
punjabi,hindi-clustered547,0.5231
punjabi,hindi-clustered828,0.523
punjabi,hindi-clustered154,0.5229
punjabi,hindi-clustered782,0.5228
punjabi,hindi-clustered242,0.5227
punjabi,hindi-clustered656,0.5226
punjabi,hindi-clustered729,0.5226
punjabi,hindi-clustered183,0.5224
punjabi,hindi-clustered212,0.5224
punjabi,hindi-clustered437,0.5221
punjabi,hindi-clustered227,0.5221
punjabi,hindi-clustered818,0.522
punjabi,hindi-clustered403,0.5219
punjabi,hindi-clustered718,0.5219
punjabi,hindi-clustered759,0.5218
punjabi,hindi-clustered287,0.5216
punjabi,hindi-clustered383,0.5216
punjabi,hindi-clustered530,0.5215
punjabi,hindi-clustered481,0.5215
punjabi,hindi-clustered369,0.5214
punjabi,hindi-clustered465,0.5214
punjabi,hindi-clustered260,0.5212
